config,name,latency_min,latency_max,latency_mean,latency_stdev,duration,requests,bytes,req_per_sec,byte_per_sec
"egg@2.0.0-beta.2, node@v8.9.1","koa1 hello",335.00,17593.00,1610.74,728.07,9998518,297637,47324283,29768.11,4733129.75
"egg@2.0.0-beta.2, node@v8.9.1","koa2 hello",250.00,8623.00,1590.67,825.57,9998451,311315,49499085,31136.32,4950675.36
"egg@2.0.0-beta.2, node@v8.9.1","egg1 hello",249.00,20024.00,2174.29,850.06,9998188,219740,65043040,21977.98,6505482.79
"egg@2.0.0-beta.2, node@v8.9.1","egg1 hello aa",290.00,21667.00,2090.82,856.39,9998427,228103,67518488,22813.89,6752911.03
"egg@2.0.0-beta.2, node@v8.9.1","egg2 hello",294.00,21470.00,1937.30,797.02,9998180,247161,73159656,24720.60,7317297.35
"egg@2.0.0-beta.2, node@v8.9.1","egg2 hello aa",223.00,18154.00,1733.69,649.83,9998892,274697,81310312,27472.74,8131932.22
"egg@2.0.0-beta.2, node@v8.9.1","koa1 view",621.00,24238.00,3185.92,2333.20,9992568,152598,400264554,15271.15,40056225.19
"egg@2.0.0-beta.2, node@v8.9.1","koa2 view",420.00,26781.00,3140.46,2227.33,9998726,156719,411073937,15673.90,41112631.45
"egg@2.0.0-beta.2, node@v8.9.1","egg1 nunjucks view",1000.00,31440.00,4827.71,3528.41,9999785,102209,283834467,10221.12,28384056.96
"egg@2.0.0-beta.2, node@v8.9.1","egg1 ejs view",583.00,26638.00,3727.69,2678.76,9998677,128724,359011240,12874.10,35905874.35
"egg@2.0.0-beta.2, node@v8.9.1","egg1 nunjucks view aa",919.00,31285.00,4590.49,3528.43,10000018,106972,298344990,10697.18,29834445.30
"egg@2.0.0-beta.2, node@v8.9.1","egg1 ejs view aa",639.00,31122.00,3848.20,3050.99,9999337,128880,360219602,12888.85,36024348.61
"egg@2.0.0-beta.2, node@v8.9.1","egg2 nunjucks view",953.00,41585.00,4492.01,3387.90,9999646,110182,305975492,11018.59,30598632.39
"egg@2.0.0-beta.2, node@v8.9.1","egg2 ejs view",363.00,31469.00,3426.54,2598.78,9998918,142208,396618117,14222.34,39666103.57
"egg@2.0.0-beta.2, node@v8.9.1","egg2 nunjucks view aa",860.00,29610.00,4150.34,3404.62,9999590,120659,336518047,12066.39,33653184.48
"egg@2.0.0-beta.2, node@v8.9.1","egg2 ejs view aa",927.00,27466.00,3244.35,2548.04,9999774,152216,425443722,15221.94,42545333.72
"egg@2.0.0-beta.2, node@v8.9.1","egg1 passport",338.00,27037.00,2589.48,1298.60,9998538,187560,55142641,18758.74,5515070.40
"egg@2.0.0-beta.2, node@v8.9.1","egg1 passport aa",622.00,12283.00,2406.41,974.97,9998683,200299,59689102,20032.54,5969696.41
"egg@2.0.0-beta.2, node@v8.9.1","egg2 passport",685.00,23906.00,2185.53,1067.51,9998570,224164,65904216,22419.61,6591364.17
"egg@2.0.0-beta.2, node@v8.9.1","egg2 passport aa",332.00,6578.00,1805.62,698.10,9998521,263602,78553396,26364.10,7856501.58
