Statistical profiling result from isolate-0x82080c000-47318-v8-47318.log, (9016 ticks, 4124 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     18    0.2%          /opt/homebrew/Cellar/node@22/22.21.1_4/bin/node

 [JavaScript]:
   ticks  total  nonlib   name
    594    6.6%    6.6%  JS: *promiseInitHook node:internal/async_hooks:328:25
    509    5.6%    5.7%  Builtin: KeyedLoadIC_Megamorphic
    240    2.7%    2.7%  Builtin: KeyedStoreIC_Megamorphic
    185    2.1%    2.1%  Builtin: GetProperty
    160    1.8%    1.8%  Builtin: RunMicrotasks
    126    1.4%    1.4%  Builtin: AsyncFunctionEnter
     96    1.1%    1.1%  Builtin: FulfillPromise
     94    1.0%    1.0%  Builtin: CallFunction_ReceiverIsNullOrUndefined
     89    1.0%    1.0%  Builtin: AsyncFunctionAwaitUncaught
     79    0.9%    0.9%  Builtin: FindOrderedHashMapEntry
     76    0.8%    0.8%  JS: *promiseBeforeHook node:internal/async_hooks:346:27
     70    0.8%    0.8%  Builtin: ResolvePromise
     69    0.8%    0.8%  JS: *promiseAfterHook node:internal/async_hooks:353:26
     67    0.7%    0.7%  Builtin: Call_ReceiverIsNullOrUndefined
     66    0.7%    0.7%  Builtin: LoadIC
     64    0.7%    0.7%  Builtin: PromiseAll
     51    0.6%    0.6%  Builtin: ResumeGeneratorTrampoline
     51    0.6%    0.6%  Builtin: LoadIC_Megamorphic
     46    0.5%    0.5%  Builtin: RecordWriteSaveFP
     43    0.5%    0.5%  JS: *initWithInjectProperty file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/impl/EggObjectImpl.js:20:33
     40    0.4%    0.4%  Builtin: ObjectPrototypeHasOwnProperty
     36    0.4%    0.4%  JS: *objectPostCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:38:27
     36    0.4%    0.4%  JS: *OrdinaryGetMetadata /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/reflect-metadata/Reflect.js:591:37
     36    0.4%    0.4%  Builtin: PromisePrototypeThen
     36    0.4%    0.4%  Builtin: NewPromiseCapability
     34    0.4%    0.4%  JS: *destroy file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/model/AbstractEggContext.js:22:18
     33    0.4%    0.4%  Builtin: ArrayIteratorPrototypeNext
     31    0.3%    0.3%  JS: *emitInitScript node:internal/async_hooks:503:24
     29    0.3%    0.3%  RegExp: [^\t\x20-\x7e\x80-\xff]
     29    0.3%    0.3%  Builtin: CloneObjectIC
     28    0.3%    0.3%  JS: *objectPreCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:32:26
     27    0.3%    0.3%  Builtin: MapPrototypeSet
     26    0.3%    0.3%  Builtin: StringToLowerCaseIntl
     25    0.3%    0.3%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
     25    0.3%    0.3%  JS: *session file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/session/node_modules/koa-session/dist/esm/index.js:184:34
     25    0.3%    0.3%  JS: *init file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/model/AbstractEggContext.js:71:15
     25    0.3%    0.3%  JS: *getOrCreateEggObject file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/factory/EggContainerFactory.js:28:38
     24    0.3%    0.3%  Builtin: CEntry_Return1_ArgvOnStack_NoBuiltinExit
     22    0.2%    0.2%  JS: *processTicksAndRejections node:internal/process/task_queues:72:35
     22    0.2%    0.2%  Builtin: WeakMapGet
     22    0.2%    0.2%  Builtin: StringAdd_CheckNone
     21    0.2%    0.2%  JS: *handleRequest file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/application.js:150:31
     21    0.2%    0.2%  JS: *_storeHeader node:_http_outgoing:455:22
     21    0.2%    0.2%  Builtin: CallFunction_ReceiverIsAny
     20    0.2%    0.2%  JS: *parserOnIncoming node:_http_server:1073:26
     20    0.2%    0.2%  Builtin: RegExpPrototypeTestFast
     20    0.2%    0.2%  Builtin: PromiseAllResolveElementClosure
     19    0.2%    0.2%  Builtin: WeakMapLookupHashIndex
     19    0.2%    0.2%  Builtin: AsyncFunctionAwaitCaught
     18    0.2%    0.2%  JS: *dispatch file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/core/node_modules/@eggjs/router/dist/Router.js:122:26
     18    0.2%    0.2%  Builtin: StoreIC_Megamorphic
     18    0.2%    0.2%  Builtin: PromiseFulfillReactionJob
     18    0.2%    0.2%  Builtin: MapConstructor
     18    0.2%    0.2%  Builtin: CreateShallowObjectLiteral
     18    0.2%    0.2%  Builtin: CallBoundFunction
     17    0.2%    0.2%  JS: *destroy file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/impl/EggObjectImpl.js:147:18
     17    0.2%    0.2%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
     16    0.2%    0.2%  JS: *xframe file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/dist/lib/middlewares/xframe.js:3:33
     16    0.2%    0.2%  JS: *dispatch /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/node_modules/koa-compose/index.js:35:23
     16    0.2%    0.2%  JS: *attachFinishedListener /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/on-finished/index.js:91:33
     16    0.2%    0.2%  JS: *Readable.removeListener node:internal/streams/readable:1159:45
     16    0.2%    0.2%  Builtin: AsyncFunctionResolve
     15    0.2%    0.2%  JS: *end node:_http_outgoing:1085:45
     15    0.2%    0.2%  JS: *bodyParser /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/node_modules/koa-bodyparser/index.js:63:35
     15    0.2%    0.2%  Builtin: PerformPromiseThen
     14    0.2%    0.2%  Builtin: KeyedLoadIC_PolymorphicName
     14    0.2%    0.2%  Builtin: JSConstructStubGeneric
     14    0.2%    0.2%  Builtin: EnqueueMicrotask
     14    0.2%    0.2%  Builtin: AsyncFunctionAwaitResolveClosure
     13    0.1%    0.1%  JS: *createObject file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/factory/EggObjectFactory.js:17:30
     13    0.1%    0.1%  JS: *clearBuffer node:internal/streams/writable:744:21
     13    0.1%    0.1%  Builtin: ArrayFrom
     12    0.1%    0.1%  JS: *postCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-plugin/dist/lib/EggContextCompatibleHook.js:36:21
     12    0.1%    0.1%  JS: *handleRequest file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/application.js:168:24
     12    0.1%    0.1%  Builtin: Call_ReceiverIsAny
     11    0.1%    0.1%  JS: *onwrite node:internal/streams/writable:615:17
     11    0.1%    0.1%  JS: *nextTick node:internal/process/task_queues:113:18
     11    0.1%    0.1%  JS: *ctxLifecycleMiddleware file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-plugin/dist/lib/ctx_lifecycle_middleware.js:3:45
