Statistical profiling result from isolate-0xa6480c000-47317-v8-47317.log, (9021 ticks, 4225 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
    615    6.8%    6.8%  JS: *promiseInitHook node:internal/async_hooks:328:25
    523    5.8%    5.8%  Builtin: KeyedLoadIC_Megamorphic
    199    2.2%    2.2%  Builtin: KeyedStoreIC_Megamorphic
    187    2.1%    2.1%  Builtin: GetProperty
    139    1.5%    1.5%  Builtin: AsyncFunctionEnter
    124    1.4%    1.4%  Builtin: FulfillPromise
    113    1.3%    1.3%  Builtin: RunMicrotasks
     92    1.0%    1.0%  JS: *promiseBeforeHook node:internal/async_hooks:346:27
     91    1.0%    1.0%  Builtin: CallFunction_ReceiverIsNullOrUndefined
     82    0.9%    0.9%  Builtin: LoadIC
     79    0.9%    0.9%  JS: *promiseAfterHook node:internal/async_hooks:353:26
     72    0.8%    0.8%  Builtin: FindOrderedHashMapEntry
     63    0.7%    0.7%  Builtin: AsyncFunctionAwaitUncaught
     59    0.7%    0.7%  Builtin: ObjectPrototypeHasOwnProperty
     58    0.6%    0.6%  Builtin: Call_ReceiverIsNullOrUndefined
     56    0.6%    0.6%  Builtin: PromiseAll
     54    0.6%    0.6%  Builtin: ResolvePromise
     52    0.6%    0.6%  Builtin: LoadIC_Megamorphic
     50    0.6%    0.6%  Builtin: ResumeGeneratorTrampoline
     46    0.5%    0.5%  Builtin: ArrayIteratorPrototypeNext
     39    0.4%    0.4%  Builtin: RecordWriteSaveFP
     39    0.4%    0.4%  Builtin: NewPromiseCapability
     38    0.4%    0.4%  JS: *initWithInjectProperty file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/impl/EggObjectImpl.js:20:33
     35    0.4%    0.4%  Builtin: PromisePrototypeThen
     32    0.4%    0.4%  JS: *OrdinaryGetMetadata /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/reflect-metadata/Reflect.js:591:37
     32    0.4%    0.4%  Builtin: MapPrototypeSet
     31    0.3%    0.3%  RegExp: [^\t\x20-\x7e\x80-\xff]
     31    0.3%    0.3%  JS: *getOrCreateEggObject file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/factory/EggContainerFactory.js:28:38
     29    0.3%    0.3%  Builtin: StringAdd_CheckNone
     29    0.3%    0.3%  Builtin: PromiseAllResolveElementClosure
     29    0.3%    0.3%  Builtin: PerformPromiseThen
     28    0.3%    0.3%  JS: *objectPreCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:32:26
     28    0.3%    0.3%  Builtin: WeakMapLookupHashIndex
     27    0.3%    0.3%  Builtin: CEntry_Return1_ArgvOnStack_NoBuiltinExit
     26    0.3%    0.3%  JS: *init file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/model/AbstractEggContext.js:71:15
     26    0.3%    0.3%  Builtin: CloneObjectIC
     25    0.3%    0.3%  JS: *objectPostCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:38:27
     25    0.3%    0.3%  Builtin: WeakMapGet
     24    0.3%    0.3%  JS: *dispatch file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/core/node_modules/@eggjs/router/dist/Router.js:122:26
     23    0.3%    0.3%  JS: *destroy file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/model/AbstractEggContext.js:22:18
     23    0.3%    0.3%  Builtin: PromiseFulfillReactionJob
     22    0.2%    0.2%  JS: *_storeHeader node:_http_outgoing:455:22
     22    0.2%    0.2%  Builtin: StringToLowerCaseIntl
     22    0.2%    0.2%  Builtin: AsyncFunctionAwaitResolveClosure
