Statistical profiling result from isolate-0xb6280c000-47319-v8-47319.log, (9031 ticks, 4182 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
    621    6.9%    6.9%  JS: *promiseInitHook node:internal/async_hooks:328:25
    529    5.9%    5.9%  Builtin: KeyedLoadIC_Megamorphic
    190    2.1%    2.1%  Builtin: GetProperty
    188    2.1%    2.1%  Builtin: KeyedStoreIC_Megamorphic
    137    1.5%    1.5%  Builtin: RunMicrotasks
    110    1.2%    1.2%  Builtin: AsyncFunctionEnter
     91    1.0%    1.0%  Builtin: CallFunction_ReceiverIsNullOrUndefined
     90    1.0%    1.0%  JS: *promiseBeforeHook node:internal/async_hooks:346:27
     88    1.0%    1.0%  Builtin: FulfillPromise
     85    0.9%    0.9%  Builtin: AsyncFunctionAwaitUncaught
     83    0.9%    0.9%  Builtin: FindOrderedHashMapEntry
     70    0.8%    0.8%  JS: *promiseAfterHook node:internal/async_hooks:353:26
     67    0.7%    0.7%  Builtin: ResolvePromise
     62    0.7%    0.7%  Builtin: Call_ReceiverIsNullOrUndefined
     61    0.7%    0.7%  Builtin: PromiseAll
     58    0.6%    0.6%  Builtin: LoadIC
     54    0.6%    0.6%  Builtin: LoadIC_Megamorphic
     51    0.6%    0.6%  Builtin: ObjectPrototypeHasOwnProperty
     49    0.5%    0.5%  Builtin: ResumeGeneratorTrampoline
     43    0.5%    0.5%  JS: *initWithInjectProperty file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/impl/EggObjectImpl.js:20:33
     43    0.5%    0.5%  JS: *OrdinaryGetMetadata /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/reflect-metadata/Reflect.js:591:37
     41    0.5%    0.5%  Builtin: ArrayIteratorPrototypeNext
     39    0.4%    0.4%  Builtin: RecordWriteSaveFP
     39    0.4%    0.4%  Builtin: PromisePrototypeThen
     34    0.4%    0.4%  JS: *destroy file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/model/AbstractEggContext.js:22:18
     32    0.4%    0.4%  Builtin: RegExpPrototypeTestFast
     31    0.3%    0.3%  JS: *init file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/model/AbstractEggContext.js:71:15
     31    0.3%    0.3%  Builtin: StringAdd_CheckNone
     30    0.3%    0.3%  Builtin: PromiseAllResolveElementClosure
     28    0.3%    0.3%  Builtin: NewPromiseCapability
     25    0.3%    0.3%  RegExp: [^\t\x20-\x7e\x80-\xff]
     25    0.3%    0.3%  JS: *objectPostCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:38:27
     25    0.3%    0.3%  JS: *getOrCreateEggObject file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/factory/EggContainerFactory.js:28:38
     25    0.3%    0.3%  Builtin: StringToLowerCaseIntl
     25    0.3%    0.3%  Builtin: CloneObjectIC
     23    0.3%    0.3%  Builtin: MapPrototypeSet
     22    0.2%    0.2%  JS: *handleRequest file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/application.js:150:31
     22    0.2%    0.2%  Builtin: GrowFastSmiOrObjectElements
     22    0.2%    0.2%  Builtin: AsyncFunctionAwaitResolveClosure
     20    0.2%    0.2%  JS: *handleRequest file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/application.js:168:24
     20    0.2%    0.2%  Builtin: WeakMapGet
     20    0.2%    0.2%  Builtin: CallApiCallbackOptimizedNoProfiling
     19    0.2%    0.2%  JS: *processTicksAndRejections node:internal/process/task_queues:72:35
     19    0.2%    0.2%  JS: *_storeHeader node:_http_outgoing:455:22
     19    0.2%    0.2%  Builtin: StoreIC_Megamorphic
     19    0.2%    0.2%  Builtin: PerformPromiseThen
