Statistical profiling result from isolate-0xc7480c000-47316-v8-47316.log, (9008 ticks, 2069 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
    667    7.4%    7.4%  JS: *promiseInitHook node:internal/async_hooks:328:25
    514    5.7%    5.7%  Builtin: KeyedLoadIC_Megamorphic
    204    2.3%    2.3%  Builtin: KeyedStoreIC_Megamorphic
    191    2.1%    2.1%  Builtin: GetProperty
    139    1.5%    1.5%  Builtin: RunMicrotasks
    113    1.3%    1.3%  Builtin: AsyncFunctionEnter
    105    1.2%    1.2%  Builtin: FulfillPromise
     81    0.9%    0.9%  Builtin: CallFunction_ReceiverIsNullOrUndefined
     78    0.9%    0.9%  Builtin: LoadIC
     77    0.9%    0.9%  JS: *promiseBeforeHook node:internal/async_hooks:346:27
     75    0.8%    0.8%  Builtin: FindOrderedHashMapEntry
     69    0.8%    0.8%  Builtin: Call_ReceiverIsNullOrUndefined
     68    0.8%    0.8%  Builtin: AsyncFunctionAwaitUncaught
     61    0.7%    0.7%  JS: *promiseAfterHook node:internal/async_hooks:353:26
     61    0.7%    0.7%  Builtin: LoadIC_Megamorphic
     54    0.6%    0.6%  Builtin: PromiseAll
     51    0.6%    0.6%  Builtin: ResumeGeneratorTrampoline
     51    0.6%    0.6%  Builtin: ResolvePromise
     49    0.5%    0.5%  Builtin: ArrayIteratorPrototypeNext
     46    0.5%    0.5%  Builtin: RecordWriteSaveFP
     42    0.5%    0.5%  Builtin: ObjectPrototypeHasOwnProperty
     36    0.4%    0.4%  Builtin: RegExpPrototypeTestFast
     36    0.4%    0.4%  Builtin: PromisePrototypeThen
     34    0.4%    0.4%  Builtin: WeakMapLookupHashIndex
     34    0.4%    0.4%  Builtin: NewPromiseCapability
     33    0.4%    0.4%  Builtin: StringAdd_CheckNone
     32    0.4%    0.4%  JS: *initWithInjectProperty file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/impl/EggObjectImpl.js:20:33
     32    0.4%    0.4%  JS: *init file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/model/AbstractEggContext.js:71:15
     31    0.3%    0.3%  JS: *objectPostCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:38:27
     31    0.3%    0.3%  Builtin: CloneObjectIC
     30    0.3%    0.3%  JS: *destroy file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/model/AbstractEggContext.js:22:18
     30    0.3%    0.3%  Builtin: WeakMapGet
     28    0.3%    0.3%  RegExp: [^\t\x20-\x7e\x80-\xff]
     28    0.3%    0.3%  JS: *OrdinaryGetMetadata /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/reflect-metadata/Reflect.js:591:37
     28    0.3%    0.3%  Builtin: MapPrototypeSet
     27    0.3%    0.3%  Builtin: PromiseFulfillReactionJob
     26    0.3%    0.3%  Builtin: StringToLowerCaseIntl
     25    0.3%    0.3%  JS: *getOrCreateEggObject file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/factory/EggContainerFactory.js:28:38
     25    0.3%    0.3%  Builtin: AsyncFunctionAwaitResolveClosure
     24    0.3%    0.3%  JS: *objectPreCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:32:26
     24    0.3%    0.3%  JS: *handleRequest file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/application.js:150:31
     24    0.3%    0.3%  JS: *dispatch /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/node_modules/koa-compose/index.js:35:23
     24    0.3%    0.3%  Builtin: PromiseAllResolveElementClosure
     24    0.3%    0.3%  Builtin: CallFunction_ReceiverIsAny
